54		-27		-27		54		-27		54		54		27		27		27		27		27		27		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		-54		-54		27		27		-54		-54		54
54		-27		-27		54		54		-27		54		27		27		27		27		27		27		27		27		-27
54		-27		-27		54		54		54		-27		27		27		27		27		27		27		27		27		-27
-27		54		54		-27		-27		-27		-27		-54		-54		27		27		-54		-54		-54		-54		-27
-27		54		-27		54		54		54		54		-54		-54		27		-54		27		27		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		-54		27		-54		-54		-54		27		54
-27		-27		-27		-27		-27		-27		-27		27		27		-54		27		-54		-54		27		-54		54
54		-27		54		-27		-27		54		54		27		27		27		27		27		27		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		-54		27		-54		27		-54		-54		54
54		-27		54		-27		54		-27		54		27		27		27		27		27		27		27		27		-27
54		-27		54		-27		54		54		-27		27		27		27		27		27		27		27		27		-27
-27		54		-27		54		-27		-27		-27		-54		-54		27		-54		27		-54		-54		-54		-27
-27		-27		-27		-27		-27		-27		-27		27		27		-54		27		27		-54		-54		-54		54
54		-27		54		54		-27		-27		54		27		27		27		27		27		27		27		27		-27
54		-27		54		54		-27		54		-27		27		27		27		27		27		27		27		27		-27
-27		54		-27		-27		54		-27		-27		-54		-54		27		-54		-54		27		-54		-54		-27
54		-27		54		54		54		-27		-27		27		27		27		27		27		27		27		27		-27
-27		54		-27		-27		-27		54		-27		-54		-54		27		-54		-54		-54		27		-54		-27
-27		54		-27		-27		-27		-27		54		-54		-54		27		-54		-54		-54		-54		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		-54		27		27		27		27		27		54
-27		-27		54		54		54		54		54		-54		-54		-54		27		27		27		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		-54		-54		-54		-54		27		54
-27		-27		-27		-27		-27		-27		-27		27		27		27		-54		-54		-54		27		-54		54
54		54		-27		-27		-27		54		54		27		27		27		27		27		27		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		-54		-54		27		-54		-54		54
54		54		-27		-27		54		-27		54		27		27		27		27		27		27		27		27		-27
54		54		-27		-27		54		54		-27		27		27		27		27		27		27		27		27		-27
-27		-27		54		54		-27		-27		-27		-54		-54		-54		27		27		-54		-54		-54		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		-54		27		-54		-54		-54		54
54		54		-27		54		-27		-27		54		27		27		27		27		27		27		27		27		-27
54		54		-27		54		-27		54		-27		27		27		27		27		27		27		27		27		-27
-27		-27		54		-27		54		-27		-27		-54		-54		-54		27		-54		27		-54		-54		-27
54		54		-27		54		54		-27		-27		27		27		27		27		27		27		27		27		-27
-27		-27		54		-27		-27		54		-27		-54		-54		-54		27		-54		-54		27		-54		-27
-27		-27		54		-27		-27		-27		54		-54		-54		-54		27		-54		-54		-54		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		-54		27		27		27		27		54
-27		-27		-27		-27		-27		-27		-27		27		27		27		27		-54		-54		-54		-54		54
54		54		54		-27		-27		-27		54		27		27		27		27		27		27		27		27		-27
54		54		54		-27		-27		54		-27		27		27		27		27		27		27		27		27		-27
-27		-27		-27		54		54		-27		-27		-54		-54		-54		-54		27		27		-54		-54		-27
54		54		54		-27		54		-27		-27		27		27		27		27		27		27		27		27		-27
-27		-27		-27		54		-27		54		-27		-54		-54		-54		-54		27		-54		27		-54		-27
-27		-27		-27		54		-27		-27		54		-54		-54		-54		-54		27		-54		-54		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		27		-54		27		27		27		54
54		54		54		54		-27		-27		-27		27		27		27		27		27		27		27		27		-27
-27		-27		-27		-27		54		54		-27		-54		-54		-54		-54		-54		27		27		-54		-27
-27		-27		-27		-27		54		-27		54		-54		-54		-54		-54		-54		27		-54		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		27		27		-54		27		27		54
-27		-27		-27		-27		-27		54		54		-54		-54		-54		-54		-54		-54		27		27		-27
-27		-27		-27		-27		-27		-27		-27		27		27		27		27		27		27		-54		27		54
-27		-27		-27		-27		-27		-27		-27		27		27		27		27		27		27		27		-54		54
54		54		54		54		54		54		54		27		27		27		27		27		27		27		27		-27
